#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  54.5000000    7.3618947651e+01    6.4000000000e+01   -1.3872198536e-22    5.4381052351e+01    6.4000000000e+01    7.8806118959e-23
  55.0000000    7.3617962129e+01    6.4000000000e+01   -1.3872198536e-22    5.4382037873e+01    6.4000000000e+01    7.8806118959e-23
  55.5000000    7.3616985571e+01    6.4000000000e+01   -1.3872198536e-22    5.4383014431e+01    6.4000000000e+01    7.8806118959e-23
  56.0000000    7.3616017995e+01    6.4000000000e+01   -1.3872198536e-22    5.4383982007e+01    6.4000000000e+01    7.8806118959e-23
  56.5000000    7.3615060730e+01    6.4000000000e+01   -1.3872198536e-22    5.4384939271e+01    6.4000000000e+01    7.8806118959e-23
  57.0000000    7.3614114715e+01    6.4000000000e+01   -1.3872198536e-22    5.4385885283e+01    6.4000000000e+01    7.8806118959e-23
  57.5000000    7.3613178842e+01    6.4000000000e+01   -1.3872198536e-22    5.4386821156e+01    6.4000000001e+01    7.8806118959e-23
  58.0000000    7.3612250707e+01    6.4000000000e+01   -1.3872198536e-22    5.4387749302e+01    6.4000000001e+01    7.8806118959e-23
  58.5000000    7.3611329297e+01    6.4000000000e+01   -1.3872198536e-22    5.4388670730e+01    6.4000000000e+01    7.8806118959e-23
  59.0000000    7.3610416607e+01    6.4000000000e+01   -1.3872198536e-22    5.4389583415e+01    6.4000000000e+01    7.8806118959e-23
  59.5000000    7.3609516065e+01    6.4000000000e+01   -1.3872198536e-22    5.4390483913e+01    6.4000000000e+01    7.8806118959e-23
  60.0000000    7.3608628778e+01    6.4000000001e+01   -1.3872198536e-22    5.4391371152e+01    6.4000000001e+01    7.8806118959e-23
  60.5000000    7.3607751312e+01    6.4000000001e+01   -1.3872198536e-22    5.4392248628e+01    6.4000000001e+01    7.8806118959e-23
  61.0000000    7.3606878122e+01    6.3999999997e+01   -1.3872198536e-22    5.4393121894e+01    6.3999999997e+01    7.8806118959e-23
  61.5000000    7.3606007041e+01    6.3999999994e+01   -1.3872198536e-22    5.4393993043e+01    6.3999999995e+01    7.8806118959e-23
  62.0000000    7.3605141951e+01    6.4000000000e+01   -1.3872198536e-22    5.4394858120e+01    6.4000000002e+01    7.8806118959e-23
  62.5000000    7.3604289076e+01    6.4000000013e+01   -1.3872198536e-22    5.4395710926e+01    6.4000000014e+01    7.8806118959e-23
  63.0000000    7.3603450560e+01    6.4000000011e+01   -1.3872198536e-22    5.4396549398e+01    6.4000000010e+01    7.8806118959e-23
  63.5000000    7.3602622429e+01    6.3999999990e+01   -1.3872198536e-22    5.4397377531e+01    6.3999999990e+01    7.8806118959e-23
  64.0000000    7.3601798926e+01    6.3999999986e+01   -1.3872198536e-22    5.4398201051e+01    6.3999999994e+01    7.8806118959e-23
  64.5000000    7.3600978018e+01    6.4000000036e+01   -1.3872198536e-22    5.4399021989e+01    6.4000000049e+01    7.8806118959e-23
  65.0000000    7.3600162404e+01    6.4000000093e+01   -1.3872198536e-22    5.4399837665e+01    6.4000000093e+01    7.8806118959e-23
  65.5000000    7.3599356019e+01    6.4000000047e+01   -1.3872198536e-22    5.4400644100e+01    6.4000000022e+01    7.8806118959e-23
  66.0000000    7.3598560306e+01    6.3999999885e+01   -1.3872198536e-22    5.4401439771e+01    6.3999999852e+01    7.8806118959e-23
  66.5000000    7.3597773398e+01    6.3999999773e+01   -1.3872198536e-22    5.4402226566e+01    6.3999999766e+01    7.8806118959e-23
  67.0000000    7.3596992106e+01    6.3999999874e+01   -1.3872198536e-22    5.4403007793e+01    6.3999999905e+01    7.8806118959e-23
  67.5000000    7.3596215113e+01    6.4000000104e+01   -1.3872198536e-22    5.4403784815e+01    6.4000000145e+01    7.8806118959e-23
  68.0000000    7.3595444399e+01    6.4000000194e+01   -1.3872198536e-22    5.4404555567e+01    6.4000000210e+01    7.8806118959e-23
  68.5000000    7.3594682356e+01    6.4000000049e+01   -1.3872198536e-22    5.4405317614e+01    6.4000000028e+01    7.8806118959e-23
  69.0000000    7.3593928189e+01    6.3999999898e+01   -1.3872198536e-22    5.4406071837e+01    6.3999999857e+01    7.8806118959e-23
  69.5000000    7.3593179523e+01    6.3999999969e+01   -1.3872198536e-22    5.4406820637e+01    6.3999999951e+01    7.8806118959e-23
  70.0000000    7.3592436129e+01    6.4000000153e+01   -1.3872198536e-22    5.4407564087e+01    6.4000000193e+01    7.8806118959e-23
  70.5000000    7.3591699311e+01    6.4000000156e+01   -1.3872198536e-22    5.4408300766e+01    6.4000000228e+01    7.8806118959e-23
  71.0000000    7.3590969331e+01    6.3999999951e+01   -1.3872198536e-22    5.4409030544e+01    6.3999999966e+01    7.8806118959e-23
  71.5000000    7.3590245529e+01    6.3999999827e+01   -1.3872198536e-22    5.4409754297e+01    6.3999999746e+01    7.8806118959e-23
  72.0000000    7.3589528113e+01    6.3999999948e+01   -1.3872198536e-22    5.4410471854e+01    6.3999999883e+01    7.8806118959e-23
  72.5000000    7.3588818313e+01    6.4000000110e+01   -1.3872198536e-22    5.4411181825e+01    6.4000000184e+01    7.8806118959e-23
  73.0000000    7.3588115156e+01    6.4000000072e+01   -1.3872198536e-22    5.4411885031e+01    6.4000000200e+01    7.8806118959e-23
  73.5000000    7.3587414155e+01    6.3999999942e+01   -1.3872198536e-22    5.4412585952e+01    6.3999999933e+01    7.8806118959e-23
  74.0000000    7.3586714116e+01    6.3999999980e+01   -1.3872198536e-22    5.4413285856e+01    6.3999999849e+01    7.8806118959e-23
  74.5000000    7.3586021815e+01    6.4000000147e+01   -1.3872198536e-22    5.4413978064e+01    6.4000000095e+01    7.8806118959e-23
  75.0000000    7.3585343130e+01    6.4000000144e+01   -1.3872198536e-22    5.4414656789e+01    6.4000000262e+01    7.8806118959e-23
  75.5000000    7.3584673817e+01    6.3999999906e+01   -1.3872198536e-22    5.4415326258e+01    6.4000000072e+01    7.8806118959e-23
  76.0000000    7.3584004820e+01    6.3999999769e+01   -1.3872198536e-22    5.4415995360e+01    6.3999999774e+01    7.8806118959e-23
  76.5000000    7.3583333219e+01    6.3999999986e+01   -1.3872198536e-22    5.4416666929e+01    6.3999999790e+01    7.8806118959e-23
  77.0000000    7.3582665008e+01    6.4000000308e+01   -1.3872198536e-22    5.4417335065e+01    6.4000000174e+01    7.8806118959e-23
  77.5000000    7.3582008258e+01    6.4000000303e+01   -1.3872198536e-22    5.4417991741e+01    6.4000000433e+01    7.8806118959e-23
  78.0000000    7.3581364033e+01    6.4000000014e+01   -1.3872198536e-22    5.4418635882e+01    6.4000000206e+01    7.8806118959e-23
  78.5000000    7.3580725298e+01    6.3999999897e+01   -1.3872198536e-22    5.4419274648e+01    6.3999999894e+01    7.8806118959e-23
  79.0000000    7.3580085698e+01    6.4000000086e+01   -1.3872198536e-22    5.4419914437e+01    6.3999999913e+01    7.8806118959e-23
  79.5000000    7.3579446995e+01    6.4000000171e+01   -1.3872198536e-22    5.4420553215e+01    6.4000000023e+01    7.8806118959e-23
  80.0000000    7.3578815999e+01    6.3999999922e+01   -1.3872198536e-22    5.4421184049e+01    6.4000000053e+01    7.8806118959e-23
  80.5000000    7.3578195953e+01    6.3999999732e+01   -1.3872198536e-22    5.4421803943e+01    6.4000000103e+01    7.8806118959e-23
  81.0000000    7.3577584687e+01    6.3999999978e+01   -1.3872198536e-22    5.4422415249e+01    6.4000000001e+01    7.8806118959e-23
  81.5000000    7.3576981630e+01    6.4000000327e+01   -1.3872198536e-22    5.4423018468e+01    6.3999999831e+01    7.8806118959e-23
  82.0000000    7.3576391287e+01    6.4000000237e+01   -1.3872198536e-22    5.4423608892e+01    6.4000000046e+01    7.8806118959e-23
  82.5000000    7.3575816560e+01    6.3999999876e+01   -1.3872198536e-22    5.4424183446e+01    6.4000000351e+01    7.8806118959e-23
  83.0000000    7.3575252222e+01    6.3999999842e+01   -1.3872198536e-22    5.4424747544e+01    6.4000000139e+01    7.8806118959e-23
  83.5000000    7.3574686762e+01    6.4000000154e+01   -1.3872198536e-22    5.4425313129e+01    6.3999999806e+01    7.8806118959e-23
  84.0000000    7.3574107999e+01    6.4000000273e+01   -1.3872198536e-22    5.4425892315e+01    6.3999999955e+01    7.8806118959e-23
  84.5000000    7.3573508088e+01    6.4000000047e+01   -1.3872198536e-22    5.4426492348e+01    6.4000000251e+01    7.8806118959e-23
  85.0000000    7.3572888121e+01    6.3999999895e+01   -1.3872198536e-22    5.4427111903e+01    6.4000000222e+01    7.8806118959e-23
  85.5000000    7.3572259713e+01    6.4000000051e+01   -1.3872198536e-22    5.4427739910e+01    6.4000000032e+01    7.8806118959e-23
  86.0000000    7.3571640037e+01    6.4000000181e+01   -1.3872198536e-22    5.4428359758e+01    6.3999999918e+01    7.8806118959e-23
  86.5000000    7.3571042050e+01    6.3999999975e+01   -1.3872198536e-22    5.4428958208e+01    6.3999999868e+01    7.8806118959e-23
  87.0000000    7.3570466809e+01    6.3999999782e+01   -1.3872198536e-22    5.4429533489e+01    6.3999999933e+01    7.8806118959e-23
  87.5000000    7.3569904610e+01    6.4000000065e+01   -1.3872198536e-22    5.4430095305e+01    6.4000000172e+01    7.8806118959e-23
  88.0000000    7.3569343357e+01    6.4000000435e+01   -1.3872198536e-22    5.4430656379e+01    6.4000000327e+01    7.8806118959e-23
  88.5000000    7.3568775499e+01    6.4000000204e+01   -1.3872198536e-22    5.4431224449e+01    6.4000000088e+01    7.8806118959e-23
  89.0000000    7.3568200518e+01    6.3999999684e+01   -1.3872198536e-22    5.4431799662e+01    6.3999999727e+01    7.8806118959e-23
  89.5000000    7.3567626493e+01    6.3999999745e+01   -1.3872198536e-22    5.4432373696e+01    6.3999999849e+01    7.8806118959e-23
  90.0000000    7.3567069056e+01    6.4000000281e+01   -1.3872198536e-22    5.4432930978e+01    6.4000000303e+01    7.8806118959e-23
  90.5000000    7.3566542971e+01    6.4000000364e+01   -1.3872198536e-22    5.4433456912e+01    6.4000000295e+01    7.8806118959e-23
  91.0000000    7.3566050353e+01    6.3999999858e+01   -1.3872198536e-22    5.4433949504e+01    6.3999999824e+01    7.8806118959e-23
  91.5000000    7.3565576720e+01    6.3999999693e+01   -1.3872198536e-22    5.4434423215e+01    6.3999999730e+01    7.8806118959e-23
